ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-09,1.7081845610161077,-68.22792179008508,61.26946954969698,1.7081845610161077,1.7081845610161077,-4.0834598915041775,-4.0834598915041775,-4.0834598915041775,-5.16025086653775,-5.16025086653775,-5.16025086653775,1.076790975033572,1.076790975033572,1.076790975033572,0.0,0.0,0.0,-2.37527533048807
2020-03-10,2.2696373142723325,-70.33093997733009,56.508534935539316,2.2696373142723325,2.2696373142723325,-5.153657107355977,-5.153657107355977,-5.153657107355977,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.006593759181771716,0.006593759181771716,0.006593759181771716,0.0,0.0,0.0,-2.884019793083645
2020-03-12,3.3925428207847825,-65.69223840322105,65.85312876983798,3.3925428207847825,3.3925428207847825,-4.723182553220117,-4.723182553220117,-4.723182553220117,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.4370683133176325,0.4370683133176325,0.4370683133176325,0.0,0.0,0.0,-1.3306397324353347
2020-03-13,3.953995574041007,-66.95817990749327,65.89708127306824,3.953995574041007,3.953995574041007,-6.386243040663399,-6.386243040663399,-6.386243040663399,-5.16025086653775,-5.16025086653775,-5.16025086653775,-1.2259921741256496,-1.2259921741256496,-1.2259921741256496,0.0,0.0,0.0,-2.432247466622392
2020-03-14,4.515448327297232,-65.39983021884497,68.76882810156569,4.515448327297232,4.515448327297232,-6.190957251665146,-6.190957251665146,-6.190957251665146,-5.16025086653775,-5.16025086653775,-5.16025086653775,-1.0307063851273965,-1.0307063851273965,-1.0307063851273965,0.0,0.0,0.0,-1.6755089243679135
2020-03-15,5.076901080553457,-69.75025093531644,68.3210662318716,5.076901080553457,5.076901080553457,-5.105853975212726,-5.105853975212726,-5.105853975212726,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.05439689132502272,0.05439689132502272,0.05439689132502272,0.0,0.0,0.0,-0.028952894659269646
2020-03-16,5.638353833809681,-71.2562271512479,68.4488535598011,5.638353833809681,5.638353833809681,-4.0834598915046465,-4.0834598915046465,-4.0834598915046465,-5.16025086653775,-5.16025086653775,-5.16025086653775,1.0767909750331035,1.0767909750331035,1.0767909750331035,0.0,0.0,0.0,1.5548939423050347
2020-03-17,6.199806587065906,-61.4364614696454,67.02604740527516,6.199806587065906,6.199806587065906,-5.153657107357193,-5.153657107357193,-5.153657107357193,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.00659375918055595,0.00659375918055595,0.00659375918055595,0.0,0.0,0.0,1.0461494797087125
2020-03-18,6.76125934032213,-67.75215870592145,69.34564959099899,6.76125934032213,6.76125934032213,-4.4784022461446895,-4.4784022461446895,-4.4784022461446895,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.6818486203930603,0.6818486203930603,0.6818486203930603,0.0,0.0,0.0,2.282857094177441
2020-03-19,7.322712093578356,-64.40885929278696,68.60113853916528,7.322712093578356,7.322712093578356,-4.723182553222531,-4.723182553222531,-4.723182553222531,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.43706831331521856,0.43706831331521856,0.43706831331521856,0.0,0.0,0.0,2.5995295403558245
2020-03-20,7.88416484683458,-63.95282905875589,70.00286110972002,7.88416484683458,7.88416484683458,-6.386243040657462,-6.386243040657462,-6.386243040657462,-5.16025086653775,-5.16025086653775,-5.16025086653775,-1.2259921741197124,-1.2259921741197124,-1.2259921741197124,0.0,0.0,0.0,1.4979218061771187
2020-03-21,8.445617600090806,-63.02410301534953,70.32373469440878,8.445617600090806,8.445617600090806,-6.1909572516640425,-6.1909572516640425,-6.1909572516640425,-5.16025086653775,-5.16025086653775,-5.16025086653775,-1.0307063851262939,-1.0307063851262939,-1.0307063851262939,0.0,0.0,0.0,2.2546603484267633
2020-03-22,9.00707035334703,-64.24610587432511,72.95835870874274,9.00707035334703,9.00707035334703,-5.105853975211757,-5.105853975211757,-5.105853975211757,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.054396891325992326,0.054396891325992326,0.054396891325992326,0.0,0.0,0.0,3.901216378135273
2020-03-23,9.568523106603255,-61.3261638397917,70.21608452556129,9.568523106603255,9.568523106603255,-4.083459891504571,-4.083459891504571,-4.083459891504571,-5.16025086653775,-5.16025086653775,-5.16025086653775,1.076790975033179,1.076790975033179,1.076790975033179,0.0,0.0,0.0,5.485063215098684
2020-03-24,10.12997585985948,-60.393101373058876,75.05497354245831,10.12997585985948,10.12997585985948,-5.15365710735566,-5.15365710735566,-5.15365710735566,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.006593759182088593,0.006593759182088593,0.006593759182088593,0.0,0.0,0.0,4.976318752503819
2020-03-25,10.691428613115702,-58.093477400110565,76.01860479426105,10.691428613115702,10.691428613115702,-4.478402246145031,-4.478402246145031,-4.478402246145031,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.6818486203927192,0.6818486203927192,0.6818486203927192,0.0,0.0,0.0,6.213026366970672
2020-03-26,11.25288136637193,-56.525513983961446,77.12561969610326,11.25288136637193,11.25288136637193,-4.723182553220731,-4.723182553220731,-4.723182553220731,-5.16025086653775,-5.16025086653775,-5.16025086653775,0.4370683133170186,0.4370683133170186,0.4370683133170186,0.0,0.0,0.0,6.5296988131511995
